attraction_name,attraction_address,zip_code,attraction_rating,attraction_n_reviews,attraction_url,popular_mentions
La Piedra Beach,"32700 Pacific Coast Hwy, Malibu, CA 90265-2534",90265,4.0,12,https://www.tripadvisor.com/Attraction_Review-g32676-d560721-Reviews-La_Piedra_Beach-Malibu_California.html,"['Filters', 'English', 'Detailed Reviews']"
Thomas Kinkade Signature Gallery,"121 San Jose Ave, Capitola, CA 95010-3236",95010,3.5,24,https://www.tripadvisor.com/Attraction_Review-g32168-d4701300-Reviews-Thomas_Kinkade_Signature_Gallery-Capitola_California.html,"['Filters', 'English', 'Detailed Reviews']"
Zalud House,"393 N Hockett St, Porterville, CA 93257-3639",93257,4.5,5,https://www.tripadvisor.com/Attraction_Review-g32917-d14019662-Reviews-Zalud_House-Porterville_California.html,"['Filters', 'English', 'Detailed Reviews']"
Museum of Art,"1010 Broad St, San Luis Obispo, CA 93401-3505",93401,4.0,61,https://www.tripadvisor.com/Attraction_Review-g33026-d4288288-Reviews-Museum_of_Art-San_Luis_Obispo_San_Luis_Obispo_County_California.html,"['Filters', 'English', 'Detailed Reviews', 'local art', 'talented artists', 'interesting exhibits', 'slo', 'mission']"
Dutch Henry Winery,"4310 Silverado Trl, Calistoga, CA 94515-9603",94515,4.0,86,https://www.tripadvisor.com/Attraction_Review-g32143-d265303-Reviews-Dutch_Henry_Winery-Calistoga_Napa_Valley_California.html,"['Filters', 'English', 'Detailed Reviews', 'tasting room', 'nice tasting', 'wine']"
Maxton Brown Park,"500 Laguna Dr State Street, Carlsbad, CA 92008-1607",92008,3.5,3,https://www.tripadvisor.com/Attraction_Review-g32171-d13897890-Reviews-Maxton_Brown_Park-Carlsbad_California.html,"['Filters', 'English', 'Detailed Reviews', 'benches']"
USC Pacific Asia Museum,"46 N Los Robles Ave, Pasadena, CA 91101-2009",91101,4.0,107,https://www.tripadvisor.com/Attraction_Review-g32859-d144148-Reviews-USC_Pacific_Asia_Museum-Pasadena_California.html,"['Filters', 'English', 'Detailed Reviews']"
Ilovekickboxing - Pacifica,"707 Hickey Blvd, Pacifica, CA 94044-1214",94044,5.0,8,https://www.tripadvisor.com/Attraction_Review-g32842-d15813338-Reviews-Ilovekickboxing_Pacifica-Pacifica_California.html,"['Filters', 'English', 'Detailed Reviews']"
Malki Museum,"11795 Malki Rd, Banning, CA 92220-2921",92220,5.0,6,https://www.tripadvisor.com/Attraction_Review-g32041-d8545059-Reviews-Malki_Museum-Banning_California.html,"['Filters', 'English', 'Detailed Reviews', 'learning experience', 'morongo', 'material', 'native', 'culture', 'california']"
Wieghorst Western Heritage Center,"131 Rea Ave, El Cajon, CA 92020-3918",92020,4.0,15,https://www.tripadvisor.com/Attraction_Review-g32331-d3477566-Reviews-Wieghorst_Western_Heritage_Center-El_Cajon_California.html,"['Filters', 'English', 'Detailed Reviews']"
